"VZROK SMRTI";"KOHEZIJSKA REGIJA";"SPOL";"LETO";"Vzrok smrti";"Vzrok smrti na 1000 prebivalcev"
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2002";18701;9.4
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2003";19451;9.7
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2004";18523;9.3
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2005";18825;9.4
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2006";18180;9.1
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2007";18584;9.2
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2008";18308;9.1
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2009";18750;9.2
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2010";18609;9.1
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2011";18699;9.1
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2012";19257;9.4
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2013";19334;9.4
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2014";18886;9.2
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2015";19834;9.6
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2016";19689;9.5
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2017";20509;9.9
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2018";20485;9.9
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2019";20588;9.9
"Vzrok smrti - SKUPAJ";"SLOVENIJA";"Spol - SKUPAJ";"2020";24016;11.4
